,Business ID,Name,Address,Rating,Price,review,rating,time,total reviews,business id
0,sCC7-hSdCkNPExejZT9BAQ,The MasalaWala,"179 Essex St, New York, NY 10002",4.5,$$,Quite possibly the best Indian food I've had in America. We enjoyed pretty much everything we ordered. I highly recommend the chicken biryani and the cheese...,5,2019-12-24 19:12:46,1479,sCC7-hSdCkNPExejZT9BAQ
1,sCC7-hSdCkNPExejZT9BAQ,The MasalaWala,"179 Essex St, New York, NY 10002",4.5,$$,"delish neighborhood delight with great variety.





*auntieknowsbest",4,2020-03-09 22:11:48,1479,sCC7-hSdCkNPExejZT9BAQ
2,sCC7-hSdCkNPExejZT9BAQ,The MasalaWala,"179 Essex St, New York, NY 10002",4.5,$$,"A okay hipster Indian spot in the LES.  Food was perfectly fine.  Spicy but not all that flavorful.  Very clean.  Medium portions that were fine for me.

I...",3,2020-01-19 05:53:56,1479,sCC7-hSdCkNPExejZT9BAQ
3,1_pK5aQ47atF50oAKHADhA,Indian Accent,"123 W 56th St, New York, NY 10019",4.5,$$$$,"Love this restaurant. From it my passion for Indian cuisine began !!!
Chic design. Very clean place ... 
Helpful staff. 
Large portions and beautiful serving!!!",5,2020-01-06 12:51:52,571,1_pK5aQ47atF50oAKHADhA
4,1_pK5aQ47atF50oAKHADhA,Indian Accent,"123 W 56th St, New York, NY 10019",4.5,$$$$,"The ambience is lovely but can be a bit loud so  if you need some aa quieter table, you will need to request the staff beforehand. The food i  called for...",3,2020-02-06 10:25:46,571,1_pK5aQ47atF50oAKHADhA
5,1_pK5aQ47atF50oAKHADhA,Indian Accent,"123 W 56th St, New York, NY 10019",4.5,$$$$,"Visited recently to celebrate my boyfriend's birthday & had a great time! 

Very good cocktails/mocktails. My boyfriend had the Smoke & Spice and really...",4,2020-01-09 18:49:07,571,1_pK5aQ47atF50oAKHADhA
6,HEs6llkn3wIP1ATXeIZQew,Pippali,"129 E 27th St, New York, NY 10016",4.0,$$,"This probably is the nicest and most consistent restaurant on Curry Hill. I absolutely love their flavors and when you ask them to add spice, they actually...",5,2020-03-08 17:19:47,771,HEs6llkn3wIP1ATXeIZQew
7,HEs6llkn3wIP1ATXeIZQew,Pippali,"129 E 27th St, New York, NY 10016",4.0,$$,My husband loves Indian food. I have only had Indian food at a buffet once or twice. I don't like buffets to begin with and I was not a fan. But Pippali had...,4,2020-03-06 10:35:36,771,HEs6llkn3wIP1ATXeIZQew
8,HEs6llkn3wIP1ATXeIZQew,Pippali,"129 E 27th St, New York, NY 10016",4.0,$$,"Worst experience of my life. 

The food wasn't bad, I ordered the chicken tikka masala and garlic naan. The flavor wasn't bad, a tad salty. 

My biggest...",1,2020-02-23 12:00:59,771,HEs6llkn3wIP1ATXeIZQew
9,kS2CP48K66yL2TwIhUqy_A,Tamarind,"99 Hudson St, New York, NY 10013",4.0,$$$,"Ate here for my first time, with visiting family.  This was during the middle of the holiday season, so maybe that explains why... for a 630p reservation on...",5,2019-12-17 16:53:50,918,kS2CP48K66yL2TwIhUqy_A
